date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:04	310296/310296	---M-Z	200	added ('OK')	application/javascript	etag:W/%226b076ba18c7700b34a5c6249ccbc2993%22	https://gestion.pe/pf/dist/engine/react.js?d=2252	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/pf/dist/engine/reactcc05.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:05	804767/804767	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcfd9478506b48f1d25352d9a2c8d14b%22	https://gestion.pe/pf/dist/components/combinations/default.js?d=2252	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/pf/dist/components/combinations/defaultcc05.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:05	47241/47241	---M--	200	added ('OK')	application/javascript	etag:%22b54d4cf2e03a769a27529ed6e85b8833%22	https://arc-subs-sdk.s3.amazonaws.com/prod/sdk-identity.min.js?v=07112019	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/arc-subs-sdk.s3.amazonaws.com/prod/sdk-identity.min9cd5.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:06	92898/92898	---M-Z	200	added ('OK')	application/javascript	etag:%22b553d101f15ed792701cd35635ac0a35%22	https://elcomercio-gestion-prod.cdn.arcpublishing.com/arc/subs/p.min.js?v=2021-07-09	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/elcomercio-gestion-prod.cdn.arcpublishing.com/arc/subs/p.min72ee.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:08	37725/37725	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260e6a294-935d%22	http://delivery.adrecover.com/41438/adRecover.js	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/delivery.adrecover.com/41438/adRecover.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2009%20Jul%202021%2005:40:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/www.googletagmanager.com/gtm.115445.delayed	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:09	45900/45900	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22b34c-yoOMKSvFQLo/mcwAGA0aJTARcds%22	https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/ak.m	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/ak.12.delayed	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:09	1746/1746	---M--	200	added ('OK')	binary/octet-stream	etag:%226067e9055b82929a7df329ba2f8bbb68%22	https://cdna.gestion.pe/resources/dist/gestion/images/white-logo.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/white-logo2d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:10	2628/2628	---M--	200	added ('OK')	binary/octet-stream	etag:%2285f7c929e004cac4b738b1c748a22b6c%22	https://cdna.gestion.pe/resources/dist/gestion/images/logo.png?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/dist/gestion/images/logo2d2b.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:10	4388/4388	---M--	200	added ('OK')	image/jpeg	etag:%2259dada97ef8d74dcf38b9a155256c8fa7555c96c%22	https://gestion.pe/resizer/bN6a5Vz_O-66xC3mavwyHT1h1fA=/125x125/smart/filters:format(jpeg):quality(75)/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2019/08/10-blog-Innovar-o-ser-cambiado-andy-garcia-pena.jpg	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/resizer/bN6a5Vz_O-66xC3mavwyHT1h1fA=/125x125/smart/filters_format(jpeg)_quality(75)/blogs.gestion.pe/innovar-o-ser-cambiado/wp-conten/10-blog-Innovar-o-ser-c	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:12	518125/518125	---M--	200	added ('OK')	image/png	etag:%225ede4f91-7e7ed%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/PLIN.png	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/PLIN.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:13	609635/609635	---M--	200	added ('OK')	image/png	etag:%225ede4f92-94d63%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/PLIN-702x1024.png	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/PLIN-702x1024.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:13	41166/41166	---M--	200	added ('OK')	image/png	etag:%225d7a7b48-a0ce%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2019/09/lean-startup.png	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2019/09/lean-startup.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:14	90230/90230	---M--	200	added ('OK')	image/jpeg	etag:%2260a71a93-16076%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/05/TYBA-PORTADA.jpg	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/05/TYBA-PORTADA.jpg	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:14	185141/185141	---M--	200	added ('OK')	image/jpeg	etag:%2260e34b1c-2d335%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/07/P.jpg	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/07/P.jpg	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:14	107473/107473	---M--	200	added ('OK')	image/jpeg	etag:%2260877b96-1a3d1%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/04/IOSC.jpg	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/04/IOSC.jpg	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:14	826213/826213	---M--	200	added ('OK')	image/png	etag:%225ed884d4-c9b65%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/YAPECARD-ENTREVISTA-1024x782.png	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/YAPECARD-ENTREVISTA-1024x782.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:14	119735/119735	---M--	200	added ('OK')	image/jpeg	etag:%22603995ab-1d3b7%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/02/PORTADA.jpg	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/02/PORTADA.jpg	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:15	100619/100619	---M--	200	added ('OK')	image/jpeg	etag:%226033c3f4-1890b%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/02/YAPE-6.jpg	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2021/02/YAPE-6.jpg	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:15	129815/129815	---M--	200	added ('OK')	image/jpeg	etag:%225fea3c42-1fb17%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/12/docentes-creativos.jpg	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/12/docentes-creativos.jpg	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:15	11913/11913	---M-Z	200	added ('OK')	application/javascript	etag:W/%226edda96ccfcc893687f70c7cd505e574%22	https://gestion.pe/pf/dist/template/gestion-nota-blog/default.js?d=2252	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/pf/dist/template/gestion-nota-blog/defaultcc05.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:16	1487467/1487467	---M--	200	added ('OK')	image/png	etag:%225ed884d3-16b26b%22	https://blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/YAPECARD-ENTREVISTA.png	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/blogs.gestion.pe/innovar-o-ser-cambiado/wp-content/uploads/sites/113/2020/06/YAPECARD-ENTREVISTA.png	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:16	6527/6527	---M--	200	added ('OK')	binary/octet-stream	etag:%225302d4307852aa1ce222952456f073e1%22	https://cdna.gestion.pe/resources/assets/js/lazyload.js?d=1	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/cdna.gestion.pe/resources/assets/js/lazyload2d2b.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:17	32749/32749	---MCZ	200	added ('OK')	application/javascript	etag:W/%224015602495942a800f96d07f36dd71d8%22	https://d1r08wok4169a5.cloudfront.net/gpt-adtmp/gpt-adtmp.js?v=2021-07-09	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/d1r08wok4169a5.cloudfront.net/gpt-adtmp/gpt-adtmp72ee.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:17	148/148	---M--	302	error ('Found')	text/html	date:Fri,%2009%20Jul%202021%2005:40:16%20GMT	https://sb.scorecardresearch.com/c2/plugins/streamingtag_plugin_jwplayer.js	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/sb.scorecardresearch.com/c2/plugins/streamingtag_plugin_jwplayer.24.delayed	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:18	215187/215187	---M--	200	added ('OK')	application/javascript	etag:%2245e1b1186d270bf042fe7ed57882f85b%22	https://sb.scorecardresearch.com/internal-c2/plugins/streamingtag_plugin_jwplayer.js	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/sb.scorecardresearch.com/internal-c2/plugins/streamingtag_plugin_jwplayer.js	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:19	45900/45900	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22b34c-V1fT/6ihuN5nbKXdwtY92iHbCw8%22	https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/Trident/	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/Trident/index.html	(from https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/)
00:40:19	65499/65499	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256de00ef-ffdb%22	https://static.chartbeat.com/js/inpage.js	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/static.chartbeat.com/js/inpage.js	(from http://static.chartbeat.com/js/chartbeat.js)
00:40:19	45900/45900	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22b34c-bQ0v6vpn7QQwVAW6THEuvTw9fII%22	https://gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/GET	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/gestion.pe/blog/innovar-o-ser-cambiado/2020/06/yape4-plin4.html/GET	(from http://static.chartbeat.com/js/chartbeat_mab.js)
00:40:21	50280/50280	---M-Z	200	added ('OK')	application/javascript	etag:%22ef66a8372cd37a4788146a1eafdf2ed6%22	http://static2.chartbeat.com/js/mab-inpagedev.js	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/static2.chartbeat.com/js/mab-inpagedev.js	(from https://static.chartbeat.com/js/inpage.js)
00:40:21	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jul%202021%2005:40:20%20GMT	http://static.chartbeat.com/js/inpage.css	C:/Users/Melissa/Documents/UPCH/2021-I/Filosofia/Producto/Gestion%20I/static.chartbeat.com/js/inpage.29.delayed	(from https://static.chartbeat.com/js/inpage.js)
